ID,AÑO,MES,DIA,FECHA,TIPO,PRECIO
1,2024,1,1,1/1/2024,Vivienda,"  1,100.00 € "
2,2024,1,1,1/1/2024,Ingreso,  1.16 € 
3,2024,1,1,1/1/2024,Estudio,  48.00 € 
4,2024,1,2,1/2/2024,Regalo,  16.99 € 
5,2024,1,2,1/2/2024,Deporte,  58.54 € 
6,2024,1,3,1/3/2024,Supermercado,  39.18 € 
7,2024,1,3,1/3/2024,Actividades,  2.60 € 
8,2024,1,5,1/5/2024,Supermercado,  12.31 € 
9,2024,1,9,1/9/2024,Servicios,  1.40 € 
10,2024,1,10,1/10/2024,Belleza,  10.00 € 
11,2024,1,11,1/11/2024,Supermercado,  26.42 € 
12,2024,1,11,1/11/2024,Supermercado,  18.29 € 
13,2024,1,12,1/12/2024,Supermercado,  2.62 € 
14,2024,1,13,1/13/2024,Actividades,  3.00 € 
15,2024,1,13,1/13/2024,Gastronomía,  15.95 € 
16,2024,1,15,1/15/2024,Ingreso,  8.00 € 
17,2024,1,16,1/16/2024,Gastronomía,  17.00 € 
18,2024,1,20,1/20/2024,Supermercado,  31.09 € 
19,2024,1,20,1/20/2024,Servicios,  10.00 € 
20,2024,1,24,1/24/2024,Servicios,  0.96 € 
21,2024,1,25,1/25/2024,Gastronomía,  12.25 € 
22,2024,1,25,1/25/2024,Supermercado,  10.15 € 
23,2024,1,26,1/26/2024,Supermercado,  17.30 € 
24,2024,1,27,1/27/2024,Deporte,  12.00 € 
25,2024,1,30,1/30/2024,Salud,  2.95 € 
26,2024,1,31,1/31/2024,Supermercado,  2.97 € 
27,2024,1,31,1/31/2024,Vivienda,  6.23 € 
28,2024,1,31,1/31/2024,Vivienda,  7.07 € 
29,2024,1,31,1/31/2024,Ingreso,"  1,924.18 € "
30,2024,2,1,2/1/2024,Supermercado,  16.43 € 
31,2024,2,1,2/1/2024,Vivienda,"  1,100.00 € "
32,2024,2,1,2/1/2024,Ingreso,  0.60 € 
33,2024,2,1,2/1/2024,Estudio,  48.00 € 
34,2024,2,2,2/2/2024,Gastronomía,  21.50 € 
35,2024,2,3,2/3/2024,Supermercado,  9.27 € 
36,2024,2,3,2/3/2024,Supermercado,  1.20 € 
37,2024,2,4,2/4/2024,Regalo,  1.50 € 
38,2024,2,5,2/5/2024,Supermercado,  4.61 € 
39,2024,2,5,2/5/2024,Belleza,  7.94 € 
40,2024,2,5,2/5/2024,Gastronomía,  22.30 € 
41,2024,2,6,2/6/2024,Ingreso,  3.00 € 
42,2024,2,6,2/6/2024,Ingreso,  0.42 € 
43,2024,2,7,2/7/2024,Supermercado,  5.90 € 
44,2024,2,7,2/7/2024,Gastronomía,  6.00 € 
45,2024,2,7,2/7/2024,Supermercado,  15.00 € 
46,2024,2,9,2/9/2024,Supermercado,  13.58 € 
47,2024,2,9,2/9/2024,Ingreso,"  1,653.03 € "
48,2024,2,9,2/9/2024,Supermercado,  1.80 € 
49,2024,2,9,2/9/2024,Supermercado,  0.85 € 
50,2024,2,9,2/9/2024,Servicios,  1.40 € 
51,2024,2,13,2/13/2024,Supermercado,  39.76 € 
52,2024,2,14,2/14/2024,Belleza,  14.80 € 
53,2024,2,15,2/15/2024,Servicios,  10.00 € 
54,2024,2,15,2/15/2024,Gastronomía,  3.30 € 
55,2024,2,17,2/17/2024,Vivienda,  4.50 € 
56,2024,2,17,2/17/2024,Supermercado,  2.26 € 
57,2024,2,17,2/17/2024,Actividades,  10.00 € 
58,2024,2,17,2/17/2024,Gastronomía,  20.00 € 
59,2024,2,21,2/21/2024,Supermercado,  6.42 € 
60,2024,2,21,2/21/2024,Ropa,  25.99 € 
61,2024,2,21,2/21/2024,Deporte,  4.99 € 
